,Country Name,Date,CO2 emissions (million tons),Country Code,Lat,Lng
3628,Libya,1999,34.491668,LBY,26.3351,17.228331
3629,Libya,2000,36.746264,LBY,26.3351,17.228331
3630,Libya,2001,37.766573,LBY,26.3351,17.228331
3631,Libya,2002,39.817441,LBY,26.3351,17.228331
3632,Libya,2003,41.519265,LBY,26.3351,17.228331
3633,Libya,2004,42.417787,LBY,26.3351,17.228331
3634,Libya,2005,43.101459,LBY,26.3351,17.228331
3635,Libya,2006,41.977812,LBY,26.3351,17.228331
3636,Libya,2007,38.963802,LBY,26.3351,17.228331
3637,Libya,2008,42.184335,LBY,26.3351,17.228331
3638,Libya,2009,45.339114,LBY,26.3351,17.228331
3639,Libya,2010,48.181967,LBY,26.3351,17.228331
3640,Libya,2011,34.415101,LBY,26.3351,17.228331
3641,Libya,2012,44.366352,LBY,26.3351,17.228331
3642,Libya,2013,48.299016,LBY,26.3351,17.228331
3643,Libya,2014,47.983357,LBY,26.3351,17.228331
3644,Libya,2015,42.725711,LBY,26.3351,17.228331
3645,Mauritius,1971,0.26147,MUS,-20.348404,57.55215200000001
3646,Mauritius,1972,0.290146,MUS,-20.348404,57.55215200000001
3647,Mauritius,1973,0.327956,MUS,-20.348404,57.55215200000001
3648,Mauritius,1974,0.397134,MUS,-20.348404,57.55215200000001
3649,Mauritius,1975,0.4224,MUS,-20.348404,57.55215200000001
3650,Mauritius,1976,0.488437,MUS,-20.348404,57.55215200000001
3651,Mauritius,1977,0.563669,MUS,-20.348404,57.55215200000001
3652,Mauritius,1978,0.604091,MUS,-20.348404,57.55215200000001
3653,Mauritius,1979,0.606905,MUS,-20.348404,57.55215200000001
3654,Mauritius,1980,0.572348,MUS,-20.348404,57.55215200000001
3655,Mauritius,1981,0.57874,MUS,-20.348404,57.55215200000001
3656,Mauritius,1982,0.531688,MUS,-20.348404,57.55215200000001
3657,Mauritius,1983,0.606552,MUS,-20.348404,57.55215200000001
3658,Mauritius,1984,0.648444,MUS,-20.348404,57.55215200000001
3659,Mauritius,1985,0.611518,MUS,-20.348404,57.55215200000001
3660,Mauritius,1986,0.762641,MUS,-20.348404,57.55215200000001
3661,Mauritius,1987,0.807272,MUS,-20.348404,57.55215200000001
3662,Mauritius,1988,0.901076,MUS,-20.348404,57.55215200000001
3663,Mauritius,1989,1.014059,MUS,-20.348404,57.55215200000001
3664,Mauritius,1990,1.164093,MUS,-20.348404,57.55215200000001
3665,Mauritius,1991,1.251644,MUS,-20.348404,57.55215200000001
3666,Mauritius,1992,1.323345,MUS,-20.348404,57.55215200000001
3667,Mauritius,1993,1.469078,MUS,-20.348404,57.55215200000001
3668,Mauritius,1994,1.514197,MUS,-20.348404,57.55215200000001
3669,Mauritius,1995,1.551459,MUS,-20.348404,57.55215200000001
3670,Mauritius,1996,1.614123,MUS,-20.348404,57.55215200000001
3671,Mauritius,1997,1.624193,MUS,-20.348404,57.55215200000001
3672,Mauritius,1998,1.791592,MUS,-20.348404,57.55215200000001
3673,Mauritius,1999,2.198405,MUS,-20.348404,57.55215200000001
3674,Mauritius,2000,2.431871,MUS,-20.348404,57.55215200000001
3675,Mauritius,2001,2.565573,MUS,-20.348404,57.55215200000001
3676,Mauritius,2002,2.612613,MUS,-20.348404,57.55215200000001
3677,Mauritius,2003,2.748569,MUS,-20.348404,57.55215200000001
3678,Mauritius,2004,2.770269,MUS,-20.348404,57.55215200000001
3679,Mauritius,2005,2.961755,MUS,-20.348404,57.55215200000001
3680,Mauritius,2006,3.304216,MUS,-20.348404,57.55215200000001
3681,Mauritius,2007,3.395196,MUS,-20.348404,57.55215200000001
3682,Mauritius,2008,3.466776,MUS,-20.348404,57.55215200000001
3683,Mauritius,2009,3.423313,MUS,-20.348404,57.55215200000001
3684,Mauritius,2010,3.662144,MUS,-20.348404,57.55215200000001
3685,Mauritius,2011,3.639261,MUS,-20.348404,57.55215200000001
3686,Mauritius,2012,3.734865,MUS,-20.348404,57.55215200000001
3687,Mauritius,2013,3.827598,MUS,-20.348404,57.55215200000001
3688,Mauritius,2014,3.959233,MUS,-20.348404,57.55215200000001
3689,Mauritius,2015,3.967535,MUS,-20.348404,57.55215200000001
3690,Morocco,1971,6.578349,MAR,31.791702,-7.092619999999999
3691,Morocco,1972,7.23056,MAR,31.791702,-7.092619999999999
3692,Morocco,1973,8.329745,MAR,31.791702,-7.092619999999999
3693,Morocco,1974,9.101343,MAR,31.791702,-7.092619999999999
3694,Morocco,1975,9.662413,MAR,31.791702,-7.092619999999999
3695,Morocco,1976,10.611978,MAR,31.791702,-7.092619999999999
3696,Morocco,1977,11.647206,MAR,31.791702,-7.092619999999999
3697,Morocco,1978,12.445379,MAR,31.791702,-7.092619999999999
3698,Morocco,1979,13.333606,MAR,31.791702,-7.092619999999999
3699,Morocco,1980,13.686748,MAR,31.791702,-7.092619999999999
3700,Morocco,1981,13.860043,MAR,31.791702,-7.092619999999999
3701,Morocco,1982,14.519196,MAR,31.791702,-7.092619999999999
3702,Morocco,1983,15.296277,MAR,31.791702,-7.092619999999999
3703,Morocco,1984,15.631605,MAR,31.791702,-7.092619999999999
3704,Morocco,1985,16.272651,MAR,31.791702,-7.092619999999999
3705,Morocco,1986,16.760031,MAR,31.791702,-7.092619999999999
3706,Morocco,1987,17.162073,MAR,31.791702,-7.092619999999999
3707,Morocco,1988,17.966846,MAR,31.791702,-7.092619999999999
3708,Morocco,1989,19.41679,MAR,31.791702,-7.092619999999999
3709,Morocco,1990,19.655831,MAR,31.791702,-7.092619999999999
3710,Morocco,1991,20.604993,MAR,31.791702,-7.092619999999999
3711,Morocco,1992,22.134018,MAR,31.791702,-7.092619999999999
3712,Morocco,1993,22.84504,MAR,31.791702,-7.092619999999999
3713,Morocco,1994,24.998546,MAR,31.791702,-7.092619999999999
3714,Morocco,1995,26.073834,MAR,31.791702,-7.092619999999999
3715,Morocco,1996,25.706733,MAR,31.791702,-7.092619999999999
3716,Morocco,1997,26.87179,MAR,31.791702,-7.092619999999999
3717,Morocco,1998,27.548587,MAR,31.791702,-7.092619999999999
3718,Morocco,1999,29.085747,MAR,31.791702,-7.092619999999999
3719,Morocco,2000,29.550532,MAR,31.791702,-7.092619999999999
3720,Morocco,2001,32.193994,MAR,31.791702,-7.092619999999999
3721,Morocco,2002,33.338022,MAR,31.791702,-7.092619999999999
3722,Morocco,2003,33.067085,MAR,31.791702,-7.092619999999999
3723,Morocco,2004,36.597954,MAR,31.791702,-7.092619999999999
3724,Morocco,2005,39.215868,MAR,31.791702,-7.092619999999999
3725,Morocco,2006,40.525447,MAR,31.791702,-7.092619999999999
3726,Morocco,2007,41.349844,MAR,31.791702,-7.092619999999999
3727,Morocco,2008,43.178424,MAR,31.791702,-7.092619999999999
3728,Morocco,2009,43.15489,MAR,31.791702,-7.092619999999999
3729,Morocco,2010,46.396882,MAR,31.791702,-7.092619999999999
3730,Morocco,2011,50.751728,MAR,31.791702,-7.092619999999999
3731,Morocco,2012,52.237979,MAR,31.791702,-7.092619999999999
3732,Morocco,2013,51.518825,MAR,31.791702,-7.092619999999999
3733,Morocco,2014,53.520673,MAR,31.791702,-7.092619999999999
3734,Morocco,2015,55.371267,MAR,31.791702,-7.092619999999999
3735,Mozambique,1971,2.933542,MOZ,-18.665695,35.529562
3736,Mozambique,1972,2.656237,MOZ,-18.665695,35.529562
3737,Mozambique,1973,2.771983,MOZ,-18.665695,35.529562
3738,Mozambique,1974,2.674152,MOZ,-18.665695,35.529562
3739,Mozambique,1975,2.375964,MOZ,-18.665695,35.529562
3740,Mozambique,1976,2.426944,MOZ,-18.665695,35.529562
3741,Mozambique,1977,2.307804,MOZ,-18.665695,35.529562
3742,Mozambique,1978,1.991258,MOZ,-18.665695,35.529562
3743,Mozambique,1979,1.894822,MOZ,-18.665695,35.529562
