Country Name,Country Code,UN Status,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
"Hong Kong SAR, China",HKG,Developing,2015,YR2015,..,..,100,100,1.488085793,106,0.278727321,3173.745,0.852783452,38030,372163.061
Iceland,ISL,Developed,2015,YR2015,100,100,100,100,16.5574956,18795,99.97872227,91392.87,77.02968921,18799,118646.292
India,IND,Developing,2015,YR2015,39.88,83.2,88,97.5,4.730910449,212195,15.34305035,8011645,36.02122257,1383004,22241457.76
Indonesia,IDN,Developing,2015,YR2015,56.49,95.22907841,97.53736744,99.83139359,3.525222674,24922,10.65115563,2402254,36.8793481,233984,6513819.044
"Iran, Islamic Rep.",IRN,Developing,2015,YR2015,98.42,99.90629814,99.97505188,100,7.794116299,14326,5.104887878,59942.46,0.913005057,280633,6565402.848
Iraq,IRQ,Developing,2015,YR2015,97.39,99.54856894,99.86218262,100,3.716267081,2572,3.731754737,5867.225,0.798830769,68922,734476.5913
Isle of Man,IMN,Other,2015,YR2015,..,100,100,100,..,4.2,0.833002777,95.54174,4.20758973,504.2,2270.7
Israel,ISR,Developing,2015,YR2015,100,100,100,100,3.590584397,1214,1.89020023,18987.48,3.707766913,64226,512100.1521
Jamaica,JAM,Developing,2015,YR2015,89.89,93.9814326,97.27888489,100,5.207201442,423,10.26200873,13776.31,16.77190746,4122,82139.19635
Japan,JPN,Developed,2015,YR2015,100,100,100,100,3.742386169,165485,15.98478072,664986.9,6.297357081,1035266,10559777.56
Jordan,JOR,Developing,2015,YR2015,99.04,100,99.99832153,99.91533661,4.642661425,184,0.967708005,7400.644,3.229170042,19014,229180.994
Kazakhstan,KAZ,Transition,2015,YR2015,95.07,100,100,100,7.922852451,9448,8.874027877,24725.24,1.558442912,106468,1586534.855
Kenya,KEN,Developing,2015,YR2015,12.76,16,41.6,78.1,7.845690551,8446,87.51424723,475941.6,72.66275251,9651,655000.7859
Kiribati,KIR,Other,2015,YR2015,4.9,92.35,90.55818141,88.31,4.137459979,2,7.272727273,25.75203,4.253998693,27.5,605.3605527
"Korea, Dem. Rep.",PRK,Developing,2015,YR2015,10.08,37.44631958,37.44631958,37.44631958,..,10000,72.79609813,63731.34,23.12326149,13737,275615.7042
"Korea, Rep.",KOR,Other,2015,YR2015,96.68,100,100,100,6.548053372,10406,1.894666312,143837.9,2.707702804,549226,5312174.577
Kosovo,XKX,Other,2015,YR2015,..,..,100,100,..,140,2.287955548,11421.65,20.45090897,6119,55849.10684
Kuwait,KWT,Other,2015,YR2015,100,100,100,100,5.316793252,0,0,0,0,67918,616547.205
Kyrgyz Republic,KGZ,Transition,2015,YR2015,79.98,99.85512396,99.90655518,99.99916077,8.642848441,11100,85.18802763,32594.68,23.3068222,13030,139850.3825
Lao PDR,LAO,Other,2015,YR2015,5.54,83.04169721,89.7,97.8,5.17189025,14252,86.36999958,72479.65,59.31586075,16501.1,122192.697
Lebanon,LBN,Developing,2015,YR2015,..,100,100,100,4.17764316,479,2.603826919,7378.814,3.64671967,18396,202341.1358
Lesotho,LSO,Developing,2015,YR2015,34.74,14.84488546,27.92323875,62.72989655,9.7240285,532.2,100,29038.03,52.13920609,532.2,55693.27226
Liberia,LBR,Developing,2015,YR2015,0.7,4.569977193,13.84009171,23.22174072,25.99234268,0,0,68916.25,83.84704334,310,82192.82071
Libya,LBY,Developing,2015,YR2015,..,96.43650936,98.52876282,99.09996796,4.208260941,0,0,6350.789,1.966554457,37713,322939.9001
Liechtenstein,LIE,Other,2015,YR2015,..,100,100,100,..,67.8,96.85714286,1814.258,63.13444144,70,2873.642276
Lithuania,LTU,Other,2015,YR2015,100,100,100,100,3.859307269,1678,39.40817285,57858.64,28.96117925,4258,199779.9865
"Macao SAR, China",MAC,Other,2015,YR2015,..,..,100,100,0.657095507,0,0,2406.327,7.051363049,962,34125.7
"Macedonia, FYR",MKD,Transition,2015,YR2015,64.9,100,100,100,4.226567457,2029,35.93694651,18886.42,24.21812973,5646,77984.63471
Madagascar,MDG,Developing,2015,YR2015,0.9,..,19.03506088,66.05822754,5.366858454,934.818,54.59645655,91950.46,70.17441591,1712.232,131031.3151
Malawi,MWI,Developing,2015,YR2015,2.49,3.9,10.8,48.7,4.084778354,1920,91.30682899,50722.96,83.6494337,2102.8,60637.54141
Malaysia,MYS,Developing,2015,YR2015,96.3,99.99442009,99.99858856,100,4.682205136,14948,9.957168455,99297.57,5.194442589,150123,1911611.656
Maldives,MDV,Other,2015,YR2015,92.88,99.98900363,99.99401093,100,3.842835874,5,1.277204455,160.2282,1.009594693,391.48,15870.54697
Mali,MLI,Developing,2015,YR2015,0.93,23.4,37.6,83.1,2.826419424,745,43.51635514,47816.79,61.52698472,1712,77716.7778
Marshall Islands,MHL,Other,2015,YR2015,64.63,84.21882173,91.51487732,94.25691223,11.34686242,0.2,0.233372229,185.6301,11.16448465,85.7,1662.684
Martinique,MTQ,Other,2015,YR2015,..,..,..,..,..,48,2.699662542,438.3959,2.448166888,1778,17907.10846
Mauritania,MRT,Developing,2015,YR2015,45.66,..,39.5,78.67417145,3.586048384,134,13.37325349,13415.19,32.15957247,1002,41714.4538
Mauritius,MUS,Developing,2015,YR2015,93.11,100,98.74125671,92.36564636,2.550863415,681,22.72272272,3862.124,11.53736196,2997,33474.93138
Mayotte,MYT,Other,2015,YR2015,..,..,..,..,..,16.8,5.318138651,332.8133,10.24359988,315.9,3248.9877
Mexico,MEX,Developing,2015,YR2015,85.15,98,99,99.3,3.738523429,47897,15.39413379,441721.1,9.215213455,311138,4793389.78
"Micronesia, Fed. Sts.",FSM,Other,2015,YR2015,11.79,68.65122679,73.55422974,90.51625824,6.587446613,1.1,1.601164483,19.75967,1.196237862,68.7,1651.817805
Moldova,MDA,Transition,2015,YR2015,91.34,100,100,100,8.392266857,327,5.368576588,13722.13,14.27368871,6091,96135.83622
Monaco,MCO,Other,2015,YR2015,100,..,100,100,..,0,0,0,..,..,0
Mongolia,MNG,Other,2015,YR2015,41.32,43.13681235,81.1916275,95.96138,6.095249071,170,3.083620533,4468.379,3.42973729,5513,130283.4189
Montenegro,MNE,Transition,2015,YR2015,68.57,99.99932371,99.99916077,99.99906921,4.446375577,1491,49.65034965,11910.79,43.00406055,3003,27696.89617
Montserrat,MSR,Other,2015,YR2015,..,..,..,..,..,0,0,0,0,24,593.2684
Morocco,MAR,Developing,2015,YR2015,96.6,99.56243108,99.58601379,99.60160828,3.154526918,4410,14.30889033,68360.09,11.31745963,30820,604023.2721
Mozambique,MOZ,Developing,2015,YR2015,3.62,5,24,68,17.31057452,17207,86.41088736,376700.5,86.40050892,19913,435993.381
Myanmar,MMR,Developing,2015,YR2015,16.97,48.9,60.5,90.8,3.124188904,9399,58.85410144,449993.5,61.52781165,15970,731366.0082
Namibia,NAM,Developing,2015,YR2015,41.32,27.9422354,50.70343018,76.72318268,3.260718505,1502,97.78645833,18868.63,26.46842984,1536,71287.30382
Nepal,NPL,Developing,2015,YR2015,26.56,84.86755038,87.21362305,97.47068024,7.423828804,3503,100,412327.7,85.26395819,3503,483589.677
New Caledonia,NCL,Other,2015,YR2015,..,100,100,100,..,409.23,14.09470867,1586.183,4.759221211,2903.43,33328.6252
New Zealand,NZL,Developed,2015,YR2015,100,100,100,100,5.423574888,35400,80.08143875,163270.9,30.78917555,44205,530286.6902
Nicaragua,NIC,Developing,2015,YR2015,51.41,55.98073636,81.16313934,98.82325745,5.429633179,2292,50.05459707,50040.28,48.20490919,4579,103807.4355
Niger,NER,Developing,2015,YR2015,1.88,7.1,16.6,60.2,6.949819287,4,0.753295669,89828.49,78.93982752,531,113793.6234
Nigeria,NGA,Developing,2015,YR2015,4.39,32.8,52.5,81.5,5.679560705,5718,18.19512506,4320767,86.63562156,31426,4987286.894
Northern Mariana Islands,MNP,Other,2015,YR2015,..,100,100,100,..,0,0,0,0,429.8,1203.12
Norway,NOR,Developed,2015,YR2015,100,100,100,100,3.753460068,140626,97.70987062,436883.3,57.7720016,143922,756219.7741
Oman,OMN,Developing,2015,YR2015,95.06,100,100,100,6.30342699,0,0,0,0,32758,753718.831
Pakistan,PAK,Developing,2015,YR2015,42.13,90.37,93.5,98.7,4.422162716,34844,31.43034972,1446248,46.47632492,110861,3111795.097
Palau,PLW,Other,2015,YR2015,86.39,96.74203363,99.16146088,99.52066803,10.23860715,0,0,0,0,94.85,2291.5
Panama,PAN,Developing,2015,YR2015,88.47,79.26983554,92.55484009,99.21968842,2.173534444,6726,65.32634033,30721.63,21.23415234,10296,144680.275
Papua New Guinea,PNG,Developing,2015,YR2015,12.85,14.73404409,22.18893433,72.05731964,9.283181838,1442,34.53065134,60749.46,52.49865195,4176,115716.2284
Paraguay,PRY,Developing,2015,YR2015,65,98.59416,99.331532,99.815336,3.952608021,55743,99.99820608,126351.8,61.67699459,55744,204860.5008
Peru,PER,Developing,2015,YR2015,73.87,77.92171,93.852179,98.874896,2.790988421,25443,52.73051336,188380.4,25.50390552,48251,738633.5394
Philippines,PHL,Developing,2015,YR2015,43.21,85.12,89.08,95.91,3.12231564,20944,25.41346632,328178.1,27.45154445,82413,1195481.371
Puerto Rico,PRI,Other,2015,YR2015,..,100,100,100,0.407346612,388.8,1.837446479,1156.599,1.837446383,21159.8,62946
Qatar,QAT,Developing,2015,YR2015,98.44,100,100,100,6.402925539,0,0,0,0,41499,578356.1365
Reunion,REU,Other,2015,YR2015,..,..,..,..,..,756.3,26.15868843,6967.792,17.48542889,2891.2,39849.13407
Russian Federation,RUS,Transition,2015,YR2015,98.15,100,100,100,8.413217751,168963,15.85579515,522370.1,3.304228351,1065623,15809140.43
